operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
StyleSize,noneq,1.0,2.0,False,addressbook,"['brokenEventHandling', 'missingElements', 'wrongPosition']","['missingInfo', 'css', 'wrongPage', 'cosmetic']",['execute'],StyleSize_AddressBookAddAddressBookTest_33_-HTML1-BODY1-DIV1-DIV3-UL1-LI6
TextReplace,noneq,2.0,2.0,True,addressbook,['unExpectedElements'],['missingInfo'],['assert'],TextReplace_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR3-TD5
TextDelete,noneq,2.5,2.0,True,addressbook,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']","['execute', 'assert']",TextDelete_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD4-A1
AttributeReplace,eq,0.5,2.0,False,addressbook,['none'],['none'],['assert'],AttributeReplace_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH4-A1
StyleColor,eq,0.5,0.0,False,addressbook,['none'],['none'],['none'],StyleColor_AddressBookAddAddressBookTest_52_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH3
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddCourseTest_73_-HTML1-BODY1-DIV1
StyleSize,noneq,0.5,2.0,False,claroline,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddMultipleUsersTest_74_-HTML1-BODY1-DIV1-DIV2-TABLE2-TBODY1-TR1-TD11
AttributeReplace,noneq,2.5,3.0,False,claroline,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeReplace_DoCourseExerciseQuestionsTest_38_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI8-A1
TextReplace,noneq,2.0,2.0,True,claroline,['wrongElements'],['missingInfo'],['assert'],TextReplace_EnrolMultipleUsersTest_58_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV1-UL1-LI3-SPAN1-A1
StyleVisibility,noneq,2.0,2.0,True,claroline,['missingElements'],['missingInfo'],['assert'],StyleVisibility_EnrolMultipleUsersTest_67_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-DIV1-SPAN1
